id,origin,destination,airline,duration_mins,date
1,NBO,JNB,KQ,195,2024-01-03
2,JFK,LAX,AA,365,2024-01-03
3,LHR,DXB,EK,435,2024-01-03
4,SIN,SYD,QF,510,2024-01-04
5,CDG,JFK,AF,530,2024-01-04
6,NBO,DXB,KQ,255,2024-01-04
7,DXB,LHR,EK,420,2024-01-05
8,LAX,ORD,UA,255,2024-01-05
9,ATL,MIA,DL,130,2024-01-05
10,SYD,SIN,QF,505,2024-01-06
11,JNB,NBO,SA,200,2024-01-06
12,ORD,DFW,AA,185,2024-01-06
13,MIA,ATL,DL,125,2024-01-07
14,DXB,NBO,EK,270,2024-01-07
15,LHR,CDG,BA,80,2024-01-07
16,JFK,LHR,BA,425,2024-01-08
17,NBO,BOM,KQ,285,2024-01-08
18,SIN,HKG,SQ,215,2024-01-08
19,HKG,NRT,CX,230,2024-01-09
20,NRT,LAX,JL,570,2024-01-09
21,DFW,ORD,WN,180,2024-01-09
22,CDG,DXB,AF,395,2024-01-10
23,BOM,NBO,AI,290,2024-01-10
24,SYD,MEL,QF,90,2024-01-10
25,MEL,SYD,QF,85,2024-01-11
26,LHR,JFK,VS,430,2024-01-11
27,NBO,ADD,ET,135,2024-01-11
28,ADD,NBO,ET,140,2024-01-12
29,LAX,SFO,UA,90,2024-01-12
30,SFO,LAX,WN,85,2024-01-12
31,DXB,SIN,EK,480,2024-01-13
32,ORD,ATL,UA,140,2024-01-13
33,JFK,CDG,DL,435,2024-01-13
34,NBO,EBB,KQ,115,2024-01-14
35,HKG,SIN,CX,210,2024-01-14
36,LHR,SIN,BA,770,2024-01-14
37,NRT,HKG,JL,235,2024-01-15
38,MIA,JFK,AA,195,2024-01-15
39,ATL,ORD,DL,150,2024-01-15
40,SIN,BOM,SQ,310,2024-01-16
41,DXB,CDG,EK,405,2024-01-16
42,NBO,CPT,KQ,575,2024-01-16
43,JNB,CPT,SA,115,2024-01-17
44,CPT,JNB,SA,110,2024-01-17
45,LHR,NBO,BA,510,2024-01-17
46,BOM,DXB,AI,205,2024-01-18
47,LAX,NRT,UA,620,2024-01-18
48,SFO,ORD,UA,265,2024-01-18
49,DFW,LAX,AA,215,2024-01-19
50,ORD,JFK,UA,175,2024-01-19
51,CDG,SIN,AF,745,2024-01-19
52,NBO,DAR,KQ,120,2024-01-20
53,DAR,NBO,KQ,125,2024-01-20
54,DXB,BOM,EK,210,2024-01-20
55,HKG,NBO,CX,600,2024-01-21
56,ATL,DFW,DL,190,2024-01-21
57,JFK,MIA,AA,200,2024-01-21
58,SYD,BNE,QF,110,2024-01-22
59,BNE,SYD,QF,105,2024-01-22
60,NRT,SYD,JL,565,2024-01-22
61,LHR,CDG,AF,75,2024-01-23
62,SIN,NRT,SQ,395,2024-01-23
63,NBO,JED,KQ,225,2024-01-23
64,JED,NBO,SV,230,2024-01-24
65,ORD,SFO,UA,285,2024-01-24
66,DXB,NRT,EK,595,2024-01-24
67,CDG,LHR,BA,80,2024-01-25
68,JNB,DXB,SA,490,2024-01-25
69,LAX,ATL,DL,265,2024-01-25
70,BOM,SIN,AI,315,2024-01-26
71,NBO,LHR,KQ,510,2024-01-26
72,MIA,DFW,AA,245,2024-01-26
73,SYD,HKG,QF,545,2024-01-27
74,NRT,SIN,JL,400,2024-01-27
75,ATL,JFK,DL,185,2024-01-27
76,DXB,JNB,EK,510,2024-01-28
77,LHR,BOM,BA,565,2024-01-28
78,SFO,JFK,UA,330,2024-01-28
79,NBO,CMB,UL,400,2024-01-29
80,CMB,NBO,UL,395,2024-01-29
81,ORD,MIA,UA,230,2024-01-29
82,CDG,NBO,AF,555,2024-01-30
83,HKG,BOM,CX,390,2024-01-30
84,DFW,ATL,WN,175,2024-01-30
85,NRT,CDG,JL,720,2024-01-31
86,JNB,LHR,SA,660,2024-01-31
87,SIN,CDG,SQ,790,2024-01-31
88,NBO,MBA,KQ,75,2024-02-01
89,MBA,NBO,KQ,70,2024-02-01
90,LAX,DFW,AA,210,2024-02-01
91,DXB,HKG,EK,480,2024-02-02
92,ATL,SFO,DL,310,2024-02-02
93,LHR,NRT,BA,710,2024-02-02
94,BOM,HKG,AI,360,2024-02-03
95,SYD,NRT,QF,590,2024-02-03
96,NBO,ACC,KQ,660,2024-02-03
97,JFK,ORD,AA,170,2024-02-04
98,CDG,BOM,AF,540,2024-02-04
99,DFW,JFK,DL,245,2024-02-04
100,SIN,SYD,SQ,500,2024-02-05
