flight_id,origin,destination,airline,duration_mins,date
FL001,NBO,JNB,Kenya Airways,195,2024-01-03
FL002,JFK,LAX,American Airlines,365,2024-01-03
FL003,LHR,DXB,Emirates,435,2024-01-03
FL004,SIN,SYD,Qantas,510,2024-01-04
FL005,CDG,JFK,Air France,530,2024-01-04
FL006,NBO,DXB,Kenya Airways,255,2024-01-04
FL007,DXB,LHR,Emirates,420,2024-01-05
FL008,LAX,ORD,United Airlines,255,2024-01-05
FL009,ATL,MIA,Delta Air Lines,130,2024-01-05
FL010,SYD,SIN,Qantas,505,2024-01-06
FL011,JNB,NBO,South African Airways,200,2024-01-06
FL012,ORD,DFW,American Airlines,185,2024-01-06
FL013,MIA,ATL,Delta Air Lines,125,2024-01-07
FL014,DXB,NBO,Emirates,270,2024-01-07
FL015,LHR,CDG,British Airways,80,2024-01-07
FL016,JFK,LHR,British Airways,425,2024-01-08
FL017,NBO,BOM,Kenya Airways,285,2024-01-08
FL018,SIN,HKG,Singapore Airlines,215,2024-01-08
FL019,HKG,NRT,Cathay Pacific,230,2024-01-09
FL020,NRT,LAX,Japan Airlines,570,2024-01-09
FL021,DFW,ORD,Southwest Airlines,180,2024-01-09
FL022,CDG,DXB,Air France,395,2024-01-10
FL023,BOM,NBO,Air India,290,2024-01-10
FL024,SYD,MEL,Qantas,90,2024-01-10
FL025,MEL,SYD,Qantas,85,2024-01-11
FL026,LHR,JFK,Virgin Atlantic,430,2024-01-11
FL027,NBO,ADD,Ethiopian Airlines,135,2024-01-11
FL028,ADD,NBO,Ethiopian Airlines,140,2024-01-12
FL029,LAX,SFO,United Airlines,90,2024-01-12
FL030,SFO,LAX,Southwest Airlines,85,2024-01-12
FL031,DXB,SIN,Emirates,480,2024-01-13
FL032,ORD,ATL,United Airlines,140,2024-01-13
FL033,JFK,CDG,Delta Air Lines,435,2024-01-13
FL034,NBO,EBB,Kenya Airways,115,2024-01-14
FL035,HKG,SIN,Cathay Pacific,210,2024-01-14
FL036,LHR,SIN,British Airways,770,2024-01-14
FL037,NRT,HKG,Japan Airlines,235,2024-01-15
FL038,MIA,JFK,American Airlines,195,2024-01-15
FL039,ATL,ORD,Delta Air Lines,150,2024-01-15
FL040,SIN,BOM,Singapore Airlines,310,2024-01-16
FL041,DXB,CDG,Emirates,405,2024-01-16
FL042,NBO,CPT,Kenya Airways,575,2024-01-16
FL043,JNB,CPT,South African Airways,115,2024-01-17
FL044,CPT,JNB,South African Airways,110,2024-01-17
FL045,LHR,NBO,British Airways,510,2024-01-17
FL046,BOM,DXB,Air India,205,2024-01-18
FL047,LAX,NRT,United Airlines,620,2024-01-18
FL048,SFO,ORD,United Airlines,265,2024-01-18
FL049,DFW,LAX,American Airlines,215,2024-01-19
FL050,ORD,JFK,United Airlines,175,2024-01-19
FL051,CDG,SIN,Air France,745,2024-01-19
FL052,NBO,DAR,Kenya Airways,120,2024-01-20
FL053,DAR,NBO,Precision Air,125,2024-01-20
FL054,DXB,BOM,Emirates,210,2024-01-20
FL055,HKG,NBO,Cathay Pacific,600,2024-01-21
FL056,ATL,DFW,Delta Air Lines,190,2024-01-21
FL057,JFK,MIA,American Airlines,200,2024-01-21
FL058,SYD,BNE,Qantas,110,2024-01-22
FL059,BNE,SYD,Virgin Australia,105,2024-01-22
FL060,NRT,SYD,Japan Airlines,565,2024-01-22
FL061,LHR,CDG,Air France,75,2024-01-23
FL062,SIN,NRT,Singapore Airlines,395,2024-01-23
FL063,NBO,JED,Kenya Airways,225,2024-01-23
FL064,JED,NBO,Saudia,230,2024-01-24
FL065,ORD,SFO,United Airlines,285,2024-01-24
FL066,DXB,NRT,Emirates,595,2024-01-24
FL067,CDG,LHR,British Airways,80,2024-01-25
FL068,JNB,DXB,South African Airways,490,2024-01-25
FL069,LAX,ATL,Delta Air Lines,265,2024-01-25
FL070,BOM,SIN,Air India,315,2024-01-26
FL071,NBO,LHR,Kenya Airways,510,2024-01-26
FL072,MIA,DFW,American Airlines,245,2024-01-26
FL073,SYD,HKG,Qantas,545,2024-01-27
FL074,NRT,SIN,Japan Airlines,400,2024-01-27
FL075,ATL,JFK,Delta Air Lines,185,2024-01-27
FL076,DXB,JNB,Emirates,510,2024-01-28
FL077,LHR,BOM,British Airways,565,2024-01-28
FL078,SFO,JFK,United Airlines,330,2024-01-28
FL079,NBO,CMB,SriLankan Airlines,400,2024-01-29
FL080,CMB,NBO,SriLankan Airlines,395,2024-01-29
FL081,ORD,MIA,United Airlines,230,2024-01-29
FL082,CDG,NBO,Air France,555,2024-01-30
FL083,HKG,BOM,Cathay Pacific,390,2024-01-30
FL084,DFW,ATL,Southwest Airlines,175,2024-01-30
FL085,NRT,CDG,Japan Airlines,720,2024-01-31
FL086,JNB,LHR,South African Airways,660,2024-01-31
FL087,SIN,CDG,Singapore Airlines,790,2024-01-31
FL088,NBO,MBA,Kenya Airways,75,2024-02-01
FL089,MBA,NBO,Kenya Airways,70,2024-02-01
FL090,LAX,DFW,American Airlines,210,2024-02-01
FL091,DXB,HKG,Emirates,480,2024-02-02
FL092,ATL,SFO,Delta Air Lines,310,2024-02-02
FL093,LHR,NRT,British Airways,710,2024-02-02
FL094,BOM,HKG,Air India,360,2024-02-03
FL095,SYD,NRT,Qantas,590,2024-02-03
FL096,NBO,ACC,Kenya Airways,660,2024-02-03
FL097,JFK,ORD,American Airlines,170,2024-02-04
FL098,CDG,BOM,Air France,540,2024-02-04
FL099,DFW,JFK,Delta Air Lines,245,2024-02-04
FL100,SIN,SYD,Singapore Airlines,500,2024-02-05
